Measurement	Value
Number of Reads	86056925
Reads With Valid Barcodes	1
Sequencing Saturation	0.847658
Q30 Bases in CB+UMI	-nan
Q30 Bases in RNA read	0.823021
Reads Mapped to Genome (Unique+Multiple)	0.877685
Reads Mapped to Genome (Unique)	0.845328
Reads Mapped to Gene (Unique+Multiple Gene)	NoMulti
Reads Mapped to Gene (Unique Gene)	0.377088
Estimated Number of Cells	5495
Unique Reads in Cells Mapped to Gene	2656653
Fraction of Unique Reads in Cells	0.0818666
Mean Reads per Cell	483
Median Reads per Cell	128
UMIs in Cells	416728
Mean UMI per Cell	75
Median UMI per Cell	51
Mean Gene per Cell	58
Median Gene per Cell	45
Total Gene Detected	10481
